,lambda [nm],gain
313,1575.2,0.02672391673950125
314,1575.6,0.025609438432590486
315,1576.0,0.024575373222057887
316,1576.4,0.023664650531076782
317,1576.8,0.022808678072074408
318,1577.2,0.022029271370735227
319,1577.6,0.02127649401501856
320,1578.0,0.020592071973113236
321,1578.4,0.019911320701237887
322,1578.8,0.01927969269614341
323,1579.2,0.01868530209740365
324,1579.6,0.01816352304709226
325,1580.0,0.017664447012434616
326,1580.4,0.017155371614353546
327,1580.8,0.016699369045743834
328,1581.2,0.016259234426061166
329,1581.6,0.01584893526759681
330,1582.0,0.015466784874754717
331,1582.4,0.01517749567058231
332,1582.8,0.014866205078951757
333,1583.2,0.014561298839246756
334,1583.6,0.01424951571391598
335,1584.0,0.013947620434944429
336,1584.4,0.013680439488750019
337,1584.8,0.013427653536926319
338,1585.2,0.013185605749076382
339,1585.6,0.012953887229298133
340,1586.0,0.012673603028060016
341,1586.4,0.012445146382409669
342,1586.8,0.012243346961647887
343,1587.2,0.012050362035502386
344,1587.6,0.011852228738226236
345,1588.0,0.011660043017707516
346,1588.4,0.011473609719083868
347,1588.8,0.011284960018809211
348,1589.2,0.01111987759143586
349,1589.6,0.010964785234397253
350,1590.0,0.010814344068244726
351,1590.4,0.01063653475591935
352,1590.8,0.010452015833564499
353,1591.2,0.010258882218000061
354,1591.6,0.010090208011850546
355,1592.0,0.009926589245944844
356,1592.4,0.009772375085786824
357,1592.8,0.0096205538959648
358,1593.2,0.009475456255805276
359,1593.6,0.009343294595093156
360,1594.0,0.00921934337823289
361,1594.4,0.00908448207525822
362,1594.8,0.008953649326227837
363,1595.2,0.008832834526798247
364,1595.6,0.008709636050121344
365,1596.0,0.008584207232160405
366,1596.4,0.008474228174135753
367,1596.8,0.008369509004305952
368,1597.2,0.008266090866891838
369,1597.6,0.00815830962434083
370,1598.0,0.00805378560937338
371,1598.4,0.007950604445720695
372,1598.8,0.007854165417907875
373,1599.2,0.007764259431439541
374,1599.6,0.0076630205233217015
375,1600.0,0.007557883164501143
376,1600.4,0.00746276840182572
377,1600.8,0.0073552938312012655
378,1601.2,0.007254375534643008
379,1601.6,0.007153197031601613
380,1602.0,0.00705667436599064
381,1602.4,0.0069566482059459965
382,1602.8,0.006854884238317541
383,1603.2,0.006743729604574429
384,1603.6,0.006631320403859047
385,1604.0,0.0065147850717682
386,1604.4,0.0064180068462184325
387,1604.8,0.006324118771249228
388,1605.2,0.006228739155546324
389,1605.6,0.006137620421004796
390,1606.0,0.0060478352446893474
391,1606.4,0.0059621111481285806
392,1606.8,0.005873543366430668
393,1607.2,0.005780960970421492
394,1607.6,0.0056898422358799645
395,1608.0,0.005602733469105359
396,1608.4,0.005534777758107406
397,1608.8,0.00546638527194133
398,1609.2,0.005388899498498469
399,1609.6,0.0053027386267695785
400,1610.0,0.0052095475334516346
401,1610.4,0.005128614024107201
402,1610.8,0.005044288537393298
403,1611.2,0.004962495417345643
404,1611.6,0.0048831510261660846
405,1612.0,0.004808392774251825
406,1612.4,0.004736966094630593
407,1612.8,0.004661227421860225
408,1613.2,0.004578256402821938
409,1613.6,0.004489521810182158
410,1614.0,0.0043964292236042595
411,1614.4,0.0043132049678993485
412,1614.8,0.004230581510377824
413,1615.2,0.004147630936134641
414,1615.6,0.004064434095041347
415,1616.0,0.003983823520528665
416,1616.4,0.003906610499238664
417,1616.8,0.0038273669380713216
418,1617.2,0.0037514582017780466
419,1617.6,0.0036728238025739066
420,1618.0,0.0035974940257056127
421,1618.4,0.003524520976127449
422,1618.8,0.0034538228746590015
423,1619.2,0.0033962535842281412
424,1619.6,0.0033434906792643776
425,1620.0,0.0032756697180523356
426,1620.4,0.0032040557826941312
427,1620.8,0.0031347298057698
428,1621.2,0.0030803503680295447
429,1621.6,0.003042286341436442
430,1622.0,0.0030088470204266736
431,1622.4,0.0029757747764199024
432,1622.8,0.0029383268816065146
433,1623.2,0.002900013800236695
434,1623.6,0.00285759131505104
435,1624.0,0.0028183833092410007
436,1624.4,0.0027797138379201695
437,1624.8,0.002742206002684773
438,1625.2,0.002706450379320647
439,1625.6,0.002666245225094871
440,1626.0,0.0026121617722291842
441,1626.4,0.00256153395439045
442,1626.8,0.002553877843278564
443,1627.2,0.002519997565210765
444,1627.6,0.002483705265975168
445,1628.0,0.002447936167632451
446,1628.4,0.0024126819064027986
447,1628.8,0.0023784833400475897
448,1629.2,0.0023388376297605587
449,1629.6,0.0023009125348432743
450,1630.0,0.0022620390802258407
451,1630.4,0.0022227985486054096
452,1630.8,0.002187762210305385
453,1631.2,0.002145853632923926
454,1631.6,0.0021091143361226536
455,1632.0,0.0020710953810096663
456,1632.4,0.0020384501544279013
457,1632.8,0.0019980210367648524
458,1633.2,0.0019592962715663546
459,1633.6,0.001916020216185122
460,1634.0,0.0018642326208786891
461,1634.4,0.0018238959694480414
462,1634.8,0.0017897819701998524
463,1635.2,0.0017462243342315103
464,1635.6,0.0017092285481825737
465,1636.0,0.0016737865665615154
466,1636.4,0.0016409680238758033
467,1636.8,0.0016069413796612388
468,1637.2,0.001576159417360512
469,1637.6,0.0015424111011520176
470,1638.0,0.0015111240594813434
471,1638.4,0.0014780871292115697
472,1638.8,0.001443777045792159
473,1639.2,0.001408640342134353
474,1639.6,0.0013854796418629482
475,1640.0,0.001352695483605365
476,1640.4,0.001321600344216005
477,1640.8,0.0012900307926493526
478,1641.2,0.0012612468444155739
479,1641.6,0.001249683454166719
480,1642.0,0.0012359478044381002
481,1642.4,0.0012220811221590447
482,1642.8,0.0012050362035502386
483,1643.2,0.0011882287233572954
484,1643.6,0.0011708469302837133
485,1644.0,0.0011582441080656108
486,1644.4,0.0011481536723730878
487,1644.8,0.0011405124302030958
488,1645.2,0.0011310976020578616
489,1645.6,0.0011217603712031343
490,1646.0,0.0011137817899139321
491,1646.4,0.001101032601549065
492,1646.8,0.0010924462522599629
493,1647.2,0.0010924462522599629
494,1647.6,0.00108968295233993
495,1648.0,0.0010937045364677062
496,1648.4,0.001087427055062015
497,1648.8,0.0010891811255510219
498,1649.2,0.0010947123719354296
499,1649.6,0.00108968295233993
500,1650.0,0.0010839272778638163
