,lambda [nm],gain
8773,1519.8730745071632,0.03637748549692848
8774,1519.7960246349953,0.03590909758762291
8775,1519.7189825745081,0.0354407571657003
8776,1519.641948324514,0.03497246422394136
8777,1519.5649218838257,0.034534602318895435
8778,1519.4879032512554,0.034133115439128434
8779,1519.4108924256159,0.03373166925575145
8780,1519.3338894057204,0.03333026376257737
8781,1519.2568941903817,0.03292889895341794
8782,1519.1799067784139,0.03253706205395182
8783,1519.1029271686305,0.03217212534949283
8784,1519.0259553598457,0.031807225627174376
8785,1518.9489913508737,0.031442362881374086
8786,1518.8720351405286,0.031077537106470664
8787,1518.7950867276256,0.030715743212511706
8788,1518.7181461109794,0.030397890992872618
8789,1518.6412132894054,0.030080070975743757
8790,1518.564288261719,0.029762283156231306
8791,1518.487371026736,0.029444527529443335
8792,1518.4104615832719,0.029126804090486957
8793,1518.333559930143,0.028840740385336086
8794,1518.2566660661662,0.02855968519113376
8795,1518.1797799901576,0.028278658462778276
8796,1518.1029017009344,0.027997660195945552
8797,1518.0260311973136,0.027716690386312335
8798,1517.9491684781126,0.02744892950766582
8799,1517.8723135421492,0.027187944879467248
8800,1517.7954663882406,0.026926986677634865
8801,1517.7186270152054,0.026666054898156738
8802,1517.641795421862,0.02640514953702095
8803,1517.5649716070288,0.026154151750351972
8804,1517.4881555695247,0.025914968251560106
8805,1517.4113473081686,0.025675808965502575
8806,1517.3345468217797,0.025436673888502143
8807,1517.2577541091775,0.02519756301688369
8808,1517.1809691691822,0.024965471423947574
8809,1517.1041920006135,0.024754629590946927
8810,1517.0274226022918,0.02454380909623167
8811,1516.9506609730372,0.024333009936561154
8812,1516.8739071116706,0.024122232108697846
8813,1516.7971610170132,0.02391230450603259
8814,1516.7204226878857,0.02372397458866321
8815,1516.64369212311,0.02353566372643531
8816,1516.5669693215077,0.023347371916457242
8817,1516.4902542819004,0.023159099155836808
8818,1516.4135470031106,0.022970845441684037
8819,1516.3368474839604,0.022792171397294544
8820,1516.2601557232724,0.022615566092718666
8821,1516.1834717198699,0.022438978651570865
8822,1516.1067954725756,0.022262409071140493
8823,1516.030126980213,0.022085857348717944
8824,1515.9534662416056,0.021910233210659085
8825,1515.876813255577,0.021735215752263785
8826,1515.8001680209516,0.02156021599221222
